clip_id,video_id,action_id,action_name,canonical_action,clip_path,stage2_dir,vlm_dir,comparison_path,fused_path,stage2_status,vlm_status,fused_status,stage2_event_count,vlm_present,error
4FXUI_c052_t0.00_43.20,4FXUI,c052,Working/Playing on a laptop,using_laptop,data/charades/clips_480p/4FXUI_c052_t0.00_43.20.mp4,outputs/charades_clip_batch_20/4FXUI_c052_t0.00_43.20/stage2,outputs/charades_clip_batch_20/4FXUI_c052_t0.00_43.20/vlm_review,outputs/charades_clip_batch_20/4FXUI_c052_t0.00_43.20/comparison.json,outputs/charades_clip_batch_20/4FXUI_c052_t0.00_43.20/fused_events.json,exists,exists,ok,1,False,
ZCH1J_c051_t0.00_44.58,ZCH1J,c051,Watching a laptop or something on a laptop,watching_laptop,data/charades/clips_480p/ZCH1J_c051_t0.00_44.58.mp4,outputs/charades_clip_batch_20/ZCH1J_c051_t0.00_44.58/stage2,outputs/charades_clip_batch_20/ZCH1J_c051_t0.00_44.58/vlm_review,outputs/charades_clip_batch_20/ZCH1J_c051_t0.00_44.58/comparison.json,outputs/charades_clip_batch_20/ZCH1J_c051_t0.00_44.58/fused_events.json,exists,exists,ok,0,False,
JUF24_c147_t0.00_37.08,JUF24,c147,Someone is cooking something,cooking,data/charades/clips_480p/JUF24_c147_t0.00_37.08.mp4,outputs/charades_clip_batch_20/JUF24_c147_t0.00_37.08/stage2,outputs/charades_clip_batch_20/JUF24_c147_t0.00_37.08/vlm_review,outputs/charades_clip_batch_20/JUF24_c147_t0.00_37.08/comparison.json,outputs/charades_clip_batch_20/JUF24_c147_t0.00_37.08/fused_events.json,exists,exists,ok,0,False,
6TNP4_c107_t0.90_44.58,6TNP4,c107,Holding a cup/glass/bottle of something,holding_drink_container,data/charades/clips_480p/6TNP4_c107_t0.90_44.58.mp4,outputs/charades_clip_batch_20/6TNP4_c107_t0.90_44.58/stage2,outputs/charades_clip_batch_20/6TNP4_c107_t0.90_44.58/vlm_review,outputs/charades_clip_batch_20/6TNP4_c107_t0.90_44.58/comparison.json,outputs/charades_clip_batch_20/6TNP4_c107_t0.90_44.58/fused_events.json,exists,exists,ok,0,False,
PURYC_c110_t0.00_33.71,PURYC,c110,Taking a cup/glass/bottle from somewhere,taking_drink_container,data/charades/clips_480p/PURYC_c110_t0.00_33.71.mp4,outputs/charades_clip_batch_20/PURYC_c110_t0.00_33.71/stage2,outputs/charades_clip_batch_20/PURYC_c110_t0.00_33.71/vlm_review,outputs/charades_clip_batch_20/PURYC_c110_t0.00_33.71/comparison.json,outputs/charades_clip_batch_20/PURYC_c110_t0.00_33.71/fused_events.json,exists,exists,ok,2,False,
1Y09V_c109_t0.00_30.79,1Y09V,c109,Putting a cup/glass/bottle somewhere,putting_drink_container,data/charades/clips_480p/1Y09V_c109_t0.00_30.79.mp4,outputs/charades_clip_batch_20/1Y09V_c109_t0.00_30.79/stage2,outputs/charades_clip_batch_20/1Y09V_c109_t0.00_30.79/vlm_review,outputs/charades_clip_batch_20/1Y09V_c109_t0.00_30.79/comparison.json,outputs/charades_clip_batch_20/1Y09V_c109_t0.00_30.79/fused_events.json,exists,exists,ok,5,True,
HG8G1_c065_t0.00_36.83,HG8G1,c065,Eating a sandwich,eating,data/charades/clips_480p/HG8G1_c065_t0.00_36.83.mp4,outputs/charades_clip_batch_20/HG8G1_c065_t0.00_36.83/stage2,outputs/charades_clip_batch_20/HG8G1_c065_t0.00_36.83/vlm_review,outputs/charades_clip_batch_20/HG8G1_c065_t0.00_36.83/comparison.json,outputs/charades_clip_batch_20/HG8G1_c065_t0.00_36.83/fused_events.json,exists,exists,ok,0,False,
ZP5TG_c123_t0.00_42.46,ZP5TG,c123,Sitting on sofa/couch,sitting_on_sofa,data/charades/clips_480p/ZP5TG_c123_t0.00_42.46.mp4,outputs/charades_clip_batch_20/ZP5TG_c123_t0.00_42.46/stage2,outputs/charades_clip_batch_20/ZP5TG_c123_t0.00_42.46/vlm_review,outputs/charades_clip_batch_20/ZP5TG_c123_t0.00_42.46/comparison.json,outputs/charades_clip_batch_20/ZP5TG_c123_t0.00_42.46/fused_events.json,exists,exists,ok,0,False,
L57L2_c125_t22.10_123.70,L57L2,c125,Sitting on the floor,sitting_on_floor,data/charades/clips_480p/L57L2_c125_t22.10_123.70.mp4,outputs/charades_clip_batch_20/L57L2_c125_t22.10_123.70/stage2,outputs/charades_clip_batch_20/L57L2_c125_t22.10_123.70/vlm_review,outputs/charades_clip_batch_20/L57L2_c125_t22.10_123.70/comparison.json,outputs/charades_clip_batch_20/L57L2_c125_t22.10_123.70/fused_events.json,exists,exists,ok,1,False,
3HUXR_c132_t0.00_41.62,3HUXR,c132,Watching television,watching_tv,data/charades/clips_480p/3HUXR_c132_t0.00_41.62.mp4,outputs/charades_clip_batch_20/3HUXR_c132_t0.00_41.62/stage2,outputs/charades_clip_batch_20/3HUXR_c132_t0.00_41.62/vlm_review,outputs/charades_clip_batch_20/3HUXR_c132_t0.00_41.62/comparison.json,outputs/charades_clip_batch_20/3HUXR_c132_t0.00_41.62/fused_events.json,exists,exists,ok,0,False,
