clip_id,video_id,action_id,action_name,start_seconds,end_seconds,clip_start_seconds,clip_end_seconds,clip_duration_seconds,source_video,clip_path,status,error
L57L2_c125_t22.10_123.70,L57L2,c125,Sitting on the floor,24.1,121.7,22.1,123.7,101.6,data/charades/videos_480p/L57L2.mp4,data/charades/clips_480p_200/L57L2_c125_t22.10_123.70.mp4,sliced,
3HUXR_c132_t0.00_41.62,3HUXR,c132,Watching television,0.0,43.0,0.0,41.62,41.62,data/charades/videos_480p/3HUXR.mp4,data/charades/clips_480p_200/3HUXR_c132_t0.00_41.62.mp4,sliced,
38TF8_c106_t0.00_31.50,38TF8,c106,Drinking from a cup/glass/bottle,0.0,33.0,0.0,31.5,31.5,data/charades/videos_480p/38TF8.mp4,data/charades/clips_480p_200/38TF8_c106_t0.00_31.50.mp4,sliced,
QU2WL_c019_t0.00_34.21,QU2WL,c019,Talking on a phone/camera,0.0,35.0,0.0,34.21,34.21,data/charades/videos_480p/QU2WL.mp4,data/charades/clips_480p_200/QU2WL_c019_t0.00_34.21.mp4,sliced,
ENJ7V_c015_t0.00_39.79,ENJ7V,c015,Holding a phone/camera,0.0,41.0,0.0,39.79,39.79,data/charades/videos_480p/ENJ7V.mp4,data/charades/clips_480p_200/ENJ7V_c015_t0.00_39.79.mp4,sliced,
75HWR_c016_t0.00_37.00,75HWR,c016,Playing with a phone/camera,0.0,38.0,0.0,37.0,37.0,data/charades/videos_480p/75HWR.mp4,data/charades/clips_480p_200/75HWR_c016_t0.00_37.00.mp4,sliced,
7JTEK_c156_t0.00_35.29,7JTEK,c156,Someone is eating something,0.0,36.0,0.0,35.29,35.29,data/charades/videos_480p/7JTEK.mp4,data/charades/clips_480p_200/7JTEK_c156_t0.00_35.29.mp4,sliced,
7WIKW_c151_t17.10_42.10,7WIKW,c151,Someone is going from standing to sitting,19.1,40.1,17.1,42.1,25.0,data/charades/videos_480p/7WIKW.mp4,data/charades/clips_480p_200/7WIKW_c151_t17.10_42.10.mp4,sliced,
1LKPL_c154_t0.00_33.58,1LKPL,c154,Someone is standing up from somewhere,0.0,35.0,0.0,33.58,33.58,data/charades/videos_480p/1LKPL.mp4,data/charades/clips_480p_200/1LKPL_c154_t0.00_33.58.mp4,sliced,
229ZR_c059_t0.00_40.42,229ZR,c059,Sitting in a chair,0.0,41.0,0.0,40.42,40.42,data/charades/videos_480p/229ZR.mp4,data/charades/clips_480p_200/229ZR_c059_t0.00_40.42.mp4,sliced,
STAZI_c097_t0.00_19.10,STAZI,c097,Walking through a doorway,0.0,17.1,0.0,19.1,19.1,data/charades/videos_480p/STAZI.mp4,data/charades/clips_480p_200/STAZI_c097_t0.00_19.10.mp4,sliced,
M0DAY_c150_t0.00_24.83,M0DAY,c150,Someone is running somewhere,0.0,26.0,0.0,24.83,24.83,data/charades/videos_480p/M0DAY.mp4,data/charades/clips_480p_200/M0DAY_c150_t0.00_24.83.mp4,sliced,
NDH24_c052_t0.00_36.38,NDH24,c052,Working/Playing on a laptop,0.0,37.0,0.0,36.38,36.38,data/charades/videos_480p/NDH24.mp4,data/charades/clips_480p_200/NDH24_c052_t0.00_36.38.mp4,sliced,
YVH4J_c051_t0.00_38.30,YVH4J,c051,Watching a laptop or something on a laptop,0.0,36.3,0.0,38.3,38.3,data/charades/videos_480p/YVH4J.mp4,data/charades/clips_480p_200/YVH4J_c051_t0.00_38.30.mp4,sliced,
BPZE3_c147_t0.00_35.12,BPZE3,c147,Someone is cooking something,0.0,36.0,0.0,35.12,35.12,data/charades/videos_480p/BPZE3.mp4,data/charades/clips_480p_200/BPZE3_c147_t0.00_35.12.mp4,sliced,
GY9MZ_c107_t0.00_35.17,GY9MZ,c107,Holding a cup/glass/bottle of something,0.0,36.0,0.0,35.17,35.17,data/charades/videos_480p/GY9MZ.mp4,data/charades/clips_480p_200/GY9MZ_c107_t0.00_35.17.mp4,sliced,
A1NKP_c110_t0.00_30.75,A1NKP,c110,Taking a cup/glass/bottle from somewhere,0.0,32.0,0.0,30.75,30.75,data/charades/videos_480p/A1NKP.mp4,data/charades/clips_480p_200/A1NKP_c110_t0.00_30.75.mp4,sliced,
PCXYE_c109_t0.00_28.40,PCXYE,c109,Putting a cup/glass/bottle somewhere,0.0,26.4,0.0,28.4,28.4,data/charades/videos_480p/PCXYE.mp4,data/charades/clips_480p_200/PCXYE_c109_t0.00_28.40.mp4,sliced,
R28EY_c065_t0.00_30.67,R28EY,c065,Eating a sandwich,0.9,32.0,0.0,30.67,30.67,data/charades/videos_480p/R28EY.mp4,data/charades/clips_480p_200/R28EY_c065_t0.00_30.67.mp4,sliced,
VSFCR_c123_t0.00_37.88,VSFCR,c123,Sitting on sofa/couch,0.0,39.0,0.0,37.88,37.88,data/charades/videos_480p/VSFCR.mp4,data/charades/clips_480p_200/VSFCR_c123_t0.00_37.88.mp4,sliced,
24B2K_c125_t6.50_51.50,24B2K,c125,Sitting on the floor,8.5,49.5,6.5,51.5,45.0,data/charades/videos_480p/24B2K.mp4,data/charades/clips_480p_200/24B2K_c125_t6.50_51.50.mp4,sliced,
1BUFQ_c132_t0.00_40.25,1BUFQ,c132,Watching television,0.0,41.0,0.0,40.25,40.25,data/charades/videos_480p/1BUFQ.mp4,data/charades/clips_480p_200/1BUFQ_c132_t0.00_40.25.mp4,sliced,
U9UI8_c106_t0.00_30.54,U9UI8,c106,Drinking from a cup/glass/bottle,0.0,32.0,0.0,30.54,30.54,data/charades/videos_480p/U9UI8.mp4,data/charades/clips_480p_200/U9UI8_c106_t0.00_30.54.mp4,sliced,
M8CDW_c019_t0.00_32.79,M8CDW,c019,Talking on a phone/camera,0.0,34.0,0.0,32.79,32.79,data/charades/videos_480p/M8CDW.mp4,data/charades/clips_480p_200/M8CDW_c019_t0.00_32.79.mp4,sliced,
Y6MUU_c015_t0.00_39.00,Y6MUU,c015,Holding a phone/camera,0.0,40.0,0.0,39.0,39.0,data/charades/videos_480p/Y6MUU.mp4,data/charades/clips_480p_200/Y6MUU_c015_t0.00_39.00.mp4,sliced,
X95MU_c016_t0.00_36.38,X95MU,c016,Playing with a phone/camera,0.0,37.0,0.0,36.38,36.38,data/charades/videos_480p/X95MU.mp4,data/charades/clips_480p_200/X95MU_c016_t0.00_36.38.mp4,sliced,
L4DUU_c156_t0.00_31.58,L4DUU,c156,Someone is eating something,0.0,33.0,0.0,31.58,31.58,data/charades/videos_480p/L4DUU.mp4,data/charades/clips_480p_200/L4DUU_c156_t0.00_31.58.mp4,sliced,
XFHYX_c151_t0.00_18.90,XFHYX,c151,Someone is going from standing to sitting,0.7,16.9,0.0,18.9,18.9,data/charades/videos_480p/XFHYX.mp4,data/charades/clips_480p_200/XFHYX_c151_t0.00_18.90.mp4,sliced,
FV684_c154_t0.00_32.92,FV684,c154,Someone is standing up from somewhere,0.0,34.0,0.0,32.92,32.92,data/charades/videos_480p/FV684.mp4,data/charades/clips_480p_200/FV684_c154_t0.00_32.92.mp4,sliced,
ARCUY_c059_t0.60_43.83,ARCUY,c059,Sitting in a chair,2.6,42.2,0.6,43.83,43.23,data/charades/videos_480p/ARCUY.mp4,data/charades/clips_480p_200/ARCUY_c059_t0.60_43.83.mp4,sliced,
406LH_c097_t1.00_21.00,406LH,c097,Walking through a doorway,3.0,19.0,1.0,21.0,20.0,data/charades/videos_480p/406LH.mp4,data/charades/clips_480p_200/406LH_c097_t1.00_21.00.mp4,sliced,
SPG5Q_c150_t9.20_33.42,SPG5Q,c150,Someone is running somewhere,11.2,34.0,9.2,33.42,24.22,data/charades/videos_480p/SPG5Q.mp4,data/charades/clips_480p_200/SPG5Q_c150_t9.20_33.42.mp4,sliced,
YDTH0_c052_t0.00_34.50,YDTH0,c052,Working/Playing on a laptop,0.0,36.0,0.0,34.5,34.5,data/charades/videos_480p/YDTH0.mp4,data/charades/clips_480p_200/YDTH0_c052_t0.00_34.50.mp4,sliced,
7GIOE_c051_t0.00_33.79,7GIOE,c051,Watching a laptop or something on a laptop,0.0,35.0,0.0,33.79,33.79,data/charades/videos_480p/7GIOE.mp4,data/charades/clips_480p_200/7GIOE_c051_t0.00_33.79.mp4,sliced,
8PSXZ_c147_t0.00_32.33,8PSXZ,c147,Someone is cooking something,0.0,33.0,0.0,32.33,32.33,data/charades/videos_480p/8PSXZ.mp4,data/charades/clips_480p_200/8PSXZ_c147_t0.00_32.33.mp4,sliced,
ZWE6N_c107_t0.20_37.71,ZWE6N,c107,Holding a cup/glass/bottle of something,2.2,37.7,0.2,37.71,37.51,data/charades/videos_480p/ZWE6N.mp4,data/charades/clips_480p_200/ZWE6N_c107_t0.20_37.71.mp4,sliced,
K8AUX_c110_t0.00_29.54,K8AUX,c110,Taking a cup/glass/bottle from somewhere,0.0,31.0,0.0,29.54,29.54,data/charades/videos_480p/K8AUX.mp4,data/charades/clips_480p_200/K8AUX_c110_t0.00_29.54.mp4,sliced,
B2X4D_c109_t9.20_30.71,B2X4D,c109,Putting a cup/glass/bottle somewhere,11.2,32.0,9.2,30.71,21.51,data/charades/videos_480p/B2X4D.mp4,data/charades/clips_480p_200/B2X4D_c109_t9.20_30.71.mp4,sliced,
7XLMZ_c065_t0.00_28.75,7XLMZ,c065,Eating a sandwich,0.0,30.0,0.0,28.75,28.75,data/charades/videos_480p/7XLMZ.mp4,data/charades/clips_480p_200/7XLMZ_c065_t0.00_28.75.mp4,sliced,
M40WF_c123_t0.00_36.04,M40WF,c123,Sitting on sofa/couch,0.0,37.0,0.0,36.04,36.04,data/charades/videos_480p/M40WF.mp4,data/charades/clips_480p_200/M40WF_c123_t0.00_36.04.mp4,sliced,
F0ZPW_c125_t0.00_39.29,F0ZPW,c125,Sitting on the floor,0.0,40.0,0.0,39.29,39.29,data/charades/videos_480p/F0ZPW.mp4,data/charades/clips_480p_200/F0ZPW_c125_t0.00_39.29.mp4,sliced,
GYAR9_c132_t0.00_37.96,GYAR9,c132,Watching television,0.0,39.0,0.0,37.96,37.96,data/charades/videos_480p/GYAR9.mp4,data/charades/clips_480p_200/GYAR9_c132_t0.00_37.96.mp4,sliced,
5JSFE_c106_t0.00_30.79,5JSFE,c106,Drinking from a cup/glass/bottle,0.0,29.8,0.0,30.79,30.79,data/charades/videos_480p/5JSFE.mp4,data/charades/clips_480p_200/5JSFE_c106_t0.00_30.79.mp4,sliced,
FN71T_c019_t0.00_31.83,FN71T,c019,Talking on a phone/camera,0.0,33.0,0.0,31.83,31.83,data/charades/videos_480p/FN71T.mp4,data/charades/clips_480p_200/FN71T_c019_t0.00_31.83.mp4,sliced,
RV11J_c015_t0.00_40.29,RV11J,c015,Holding a phone/camera,0.0,39.1,0.0,40.29,40.29,data/charades/videos_480p/RV11J.mp4,data/charades/clips_480p_200/RV11J_c015_t0.00_40.29.mp4,sliced,
NSDFA_c016_t0.00_35.08,NSDFA,c016,Playing with a phone/camera,0.0,36.0,0.0,35.08,35.08,data/charades/videos_480p/NSDFA.mp4,data/charades/clips_480p_200/NSDFA_c016_t0.00_35.08.mp4,sliced,
DDUXF_c156_t0.00_34.90,DDUXF,c156,Someone is eating something,0.0,32.9,0.0,34.9,34.9,data/charades/videos_480p/DDUXF.mp4,data/charades/clips_480p_200/DDUXF_c156_t0.00_34.90.mp4,sliced,
HB8QW_c151_t0.60_20.60,HB8QW,c151,Someone is going from standing to sitting,2.6,18.6,0.6,20.6,20.0,data/charades/videos_480p/HB8QW.mp4,data/charades/clips_480p_200/HB8QW_c151_t0.60_20.60.mp4,sliced,
OYG5H_c154_t0.00_30.83,OYG5H,c154,Someone is standing up from somewhere,0.0,32.0,0.0,30.83,30.83,data/charades/videos_480p/OYG5H.mp4,data/charades/clips_480p_200/OYG5H_c154_t0.00_30.83.mp4,sliced,
IJN3M_c059_t1.00_41.42,IJN3M,c059,Sitting in a chair,3.0,42.0,1.0,41.42,40.42,data/charades/videos_480p/IJN3M.mp4,data/charades/clips_480p_200/IJN3M_c059_t1.00_41.42.mp4,sliced,
AST4H_c097_t6.00_23.90,AST4H,c097,Walking through a doorway,8.0,21.9,6.0,23.9,17.9,data/charades/videos_480p/AST4H.mp4,data/charades/clips_480p_200/AST4H_c097_t6.00_23.90.mp4,sliced,
0R5GS_c150_t8.90_31.33,0R5GS,c150,Someone is running somewhere,10.9,32.0,8.9,31.33,22.43,data/charades/videos_480p/0R5GS.mp4,data/charades/clips_480p_200/0R5GS_c150_t8.90_31.33.mp4,sliced,
V58VE_c052_t0.00_31.54,V58VE,c052,Working/Playing on a laptop,0.0,33.0,0.0,31.54,31.54,data/charades/videos_480p/V58VE.mp4,data/charades/clips_480p_200/V58VE_c052_t0.00_31.54.mp4,sliced,
H603E_c051_t0.00_32.33,H603E,c051,Watching a laptop or something on a laptop,0.0,33.0,0.0,32.33,32.33,data/charades/videos_480p/H603E.mp4,data/charades/clips_480p_200/H603E_c051_t0.00_32.33.mp4,sliced,
1SKLG_c147_t0.00_30.42,1SKLG,c147,Someone is cooking something,0.0,31.0,0.0,30.42,30.42,data/charades/videos_480p/1SKLG.mp4,data/charades/clips_480p_200/1SKLG_c147_t0.00_30.42.mp4,sliced,
HY9LW_c107_t0.00_33.75,HY9LW,c107,Holding a cup/glass/bottle of something,0.0,34.6,0.0,33.75,33.75,data/charades/videos_480p/HY9LW.mp4,data/charades/clips_480p_200/HY9LW_c107_t0.00_33.75.mp4,sliced,
0NCWX_c110_t0.30_31.50,0NCWX,c110,Taking a cup/glass/bottle from somewhere,2.3,32.0,0.3,31.5,31.2,data/charades/videos_480p/0NCWX.mp4,data/charades/clips_480p_200/0NCWX_c110_t0.30_31.50.mp4,sliced,
8LWV7_c109_t10.80_30.04,8LWV7,c109,Putting a cup/glass/bottle somewhere,12.8,31.0,10.8,30.04,19.24,data/charades/videos_480p/8LWV7.mp4,data/charades/clips_480p_200/8LWV7_c109_t10.80_30.04.mp4,sliced,
D4RH8_c065_t0.00_29.08,D4RH8,c065,Eating a sandwich,0.0,30.0,0.0,29.08,29.08,data/charades/videos_480p/D4RH8.mp4,data/charades/clips_480p_200/D4RH8_c065_t0.00_29.08.mp4,sliced,
EASCD_c123_t0.00_37.00,EASCD,c123,Sitting on sofa/couch,0.0,35.0,0.0,37.0,37.0,data/charades/videos_480p/EASCD.mp4,data/charades/clips_480p_200/EASCD_c123_t0.00_37.00.mp4,sliced,
C0207_c125_t0.00_36.42,C0207,c125,Sitting on the floor,0.0,37.0,0.0,36.42,36.42,data/charades/videos_480p/C0207.mp4,data/charades/clips_480p_200/C0207_c125_t0.00_36.42.mp4,sliced,
1DGSW_c132_t0.00_38.33,1DGSW,c132,Watching television,1.8,39.0,0.0,38.33,38.33,data/charades/videos_480p/1DGSW.mp4,data/charades/clips_480p_200/1DGSW_c132_t0.00_38.33.mp4,sliced,
U3OJV_c106_t0.00_27.67,U3OJV,c106,Drinking from a cup/glass/bottle,0.0,29.0,0.0,27.67,27.67,data/charades/videos_480p/U3OJV.mp4,data/charades/clips_480p_200/U3OJV_c106_t0.00_27.67.mp4,sliced,
V5XKZ_c019_t0.00_31.58,V5XKZ,c019,Talking on a phone/camera,0.0,32.7,0.0,31.58,31.58,data/charades/videos_480p/V5XKZ.mp4,data/charades/clips_480p_200/V5XKZ_c019_t0.00_31.58.mp4,sliced,
3FMAS_c015_t0.00_37.12,3FMAS,c015,Holding a phone/camera,0.0,38.0,0.0,37.12,37.12,data/charades/videos_480p/3FMAS.mp4,data/charades/clips_480p_200/3FMAS_c015_t0.00_37.12.mp4,sliced,
B8BSY_c016_t0.00_31.79,B8BSY,c016,Playing with a phone/camera,0.0,32.9,0.0,31.79,31.79,data/charades/videos_480p/B8BSY.mp4,data/charades/clips_480p_200/B8BSY_c016_t0.00_31.79.mp4,sliced,
5B8M5_c156_t0.00_30.71,5B8M5,c156,Someone is eating something,0.0,32.0,0.0,30.71,30.71,data/charades/videos_480p/5B8M5.mp4,data/charades/clips_480p_200/5B8M5_c156_t0.00_30.71.mp4,sliced,
CVPQR_c151_t14.50_30.58,CVPQR,c151,Someone is going from standing to sitting,16.5,32.0,14.5,30.58,16.08,data/charades/videos_480p/CVPQR.mp4,data/charades/clips_480p_200/CVPQR_c151_t14.50_30.58.mp4,sliced,
MV9N4_c154_t0.00_28.96,MV9N4,c154,Someone is standing up from somewhere,0.0,30.0,0.0,28.96,28.96,data/charades/videos_480p/MV9N4.mp4,data/charades/clips_480p_200/MV9N4_c154_t0.00_28.96.mp4,sliced,
0YTSJ_c059_t0.00_37.08,0YTSJ,c059,Sitting in a chair,0.0,38.0,0.0,37.08,37.08,data/charades/videos_480p/0YTSJ.mp4,data/charades/clips_480p_200/0YTSJ_c059_t0.00_37.08.mp4,sliced,
WOD0G_c097_t0.00_15.90,WOD0G,c097,Walking through a doorway,0.0,13.9,0.0,15.9,15.9,data/charades/videos_480p/WOD0G.mp4,data/charades/clips_480p_200/WOD0G_c097_t0.00_15.90.mp4,sliced,
UKOAU_c150_t7.90_25.90,UKOAU,c150,Someone is running somewhere,9.9,23.9,7.9,25.9,18.0,data/charades/videos_480p/UKOAU.mp4,data/charades/clips_480p_200/UKOAU_c150_t7.90_25.90.mp4,sliced,
V8GK6_c052_t0.00_31.92,V8GK6,c052,Working/Playing on a laptop,0.0,33.0,0.0,31.92,31.92,data/charades/videos_480p/V8GK6.mp4,data/charades/clips_480p_200/V8GK6_c052_t0.00_31.92.mp4,sliced,
5NG8W_c051_t0.00_31.67,5NG8W,c051,Watching a laptop or something on a laptop,0.1,32.4,0.0,31.67,31.67,data/charades/videos_480p/5NG8W.mp4,data/charades/clips_480p_200/5NG8W_c051_t0.00_31.67.mp4,sliced,
DUEEE_c147_t0.00_30.38,DUEEE,c147,Someone is cooking something,0.0,31.0,0.0,30.38,30.38,data/charades/videos_480p/DUEEE.mp4,data/charades/clips_480p_200/DUEEE_c147_t0.00_30.38.mp4,sliced,
K8DDR_c107_t0.00_32.54,K8DDR,c107,Holding a cup/glass/bottle of something,0.0,34.0,0.0,32.54,32.54,data/charades/videos_480p/K8DDR.mp4,data/charades/clips_480p_200/K8DDR_c107_t0.00_32.54.mp4,sliced,
VTYXW_c110_t20.60_43.90,VTYXW,c110,Taking a cup/glass/bottle from somewhere,22.6,41.9,20.6,43.9,23.3,data/charades/videos_480p/VTYXW.mp4,data/charades/clips_480p_200/VTYXW_c110_t20.60_43.90.mp4,sliced,
0A8ZT_c109_t8.60_29.30,0A8ZT,c109,Putting a cup/glass/bottle somewhere,10.6,27.3,8.6,29.3,20.7,data/charades/videos_480p/0A8ZT.mp4,data/charades/clips_480p_200/0A8ZT_c109_t8.60_29.30.mp4,sliced,
SZTNV_c065_t0.00_28.71,SZTNV,c065,Eating a sandwich,0.0,30.0,0.0,28.71,28.71,data/charades/videos_480p/SZTNV.mp4,data/charades/clips_480p_200/SZTNV_c065_t0.00_28.71.mp4,sliced,
0UFI4_c123_t10.80_46.96,0UFI4,c123,Sitting on sofa/couch,12.8,47.1,10.8,46.96,36.16,data/charades/videos_480p/0UFI4.mp4,data/charades/clips_480p_200/0UFI4_c123_t10.80_46.96.mp4,sliced,
9W63D_c125_t0.00_33.75,9W63D,c125,Sitting on the floor,0.0,35.0,0.0,33.75,33.75,data/charades/videos_480p/9W63D.mp4,data/charades/clips_480p_200/9W63D_c125_t0.00_33.75.mp4,sliced,
WZRLQ_c132_t0.00_34.88,WZRLQ,c132,Watching television,0.0,36.0,0.0,34.88,34.88,data/charades/videos_480p/WZRLQ.mp4,data/charades/clips_480p_200/WZRLQ_c132_t0.00_34.88.mp4,sliced,
FET0V_c106_t2.30_35.10,FET0V,c106,Drinking from a cup/glass/bottle,4.3,33.1,2.3,35.1,32.8,data/charades/videos_480p/FET0V.mp4,data/charades/clips_480p_200/FET0V_c106_t2.30_35.10.mp4,sliced,
DBN7R_c019_t0.00_30.71,DBN7R,c019,Talking on a phone/camera,0.0,32.0,0.0,30.71,30.71,data/charades/videos_480p/DBN7R.mp4,data/charades/clips_480p_200/DBN7R_c019_t0.00_30.71.mp4,sliced,
G8O8P_c015_t0.00_34.54,G8O8P,c015,Holding a phone/camera,0.0,36.0,0.0,34.54,34.54,data/charades/videos_480p/G8O8P.mp4,data/charades/clips_480p_200/G8O8P_c015_t0.00_34.54.mp4,sliced,
XNR76_c016_t0.00_33.67,XNR76,c016,Playing with a phone/camera,0.0,32.5,0.0,33.67,33.67,data/charades/videos_480p/XNR76.mp4,data/charades/clips_480p_200/XNR76_c016_t0.00_33.67.mp4,sliced,
5MYL4_c156_t0.00_30.46,5MYL4,c156,Someone is eating something,0.0,31.0,0.0,30.46,30.46,data/charades/videos_480p/5MYL4.mp4,data/charades/clips_480p_200/5MYL4_c156_t0.00_30.46.mp4,sliced,
FPODN_c151_t8.80_28.20,FPODN,c151,Someone is going from standing to sitting,10.8,26.2,8.8,28.2,19.4,data/charades/videos_480p/FPODN.mp4,data/charades/clips_480p_200/FPODN_c151_t8.80_28.20.mp4,sliced,
QDRWK_c154_t0.00_29.50,QDRWK,c154,Someone is standing up from somewhere,0.0,30.0,0.0,29.5,29.5,data/charades/videos_480p/QDRWK.mp4,data/charades/clips_480p_200/QDRWK_c154_t0.00_29.50.mp4,sliced,
J26CF_c059_t0.00_37.25,J26CF,c059,Sitting in a chair,0.0,38.0,0.0,37.25,37.25,data/charades/videos_480p/J26CF.mp4,data/charades/clips_480p_200/J26CF_c059_t0.00_37.25.mp4,sliced,
AHZWF_c097_t0.00_15.70,AHZWF,c097,Walking through a doorway,0.0,13.7,0.0,15.7,15.7,data/charades/videos_480p/AHZWF.mp4,data/charades/clips_480p_200/AHZWF_c097_t0.00_15.70.mp4,sliced,
WNW0S_c150_t0.00_13.70,WNW0S,c150,Someone is running somewhere,0.0,11.7,0.0,13.7,13.7,data/charades/videos_480p/WNW0S.mp4,data/charades/clips_480p_200/WNW0S_c150_t0.00_13.70.mp4,sliced,
WA7WD_c052_t0.00_31.46,WA7WD,c052,Working/Playing on a laptop,0.0,32.0,0.0,31.46,31.46,data/charades/videos_480p/WA7WD.mp4,data/charades/clips_480p_200/WA7WD_c052_t0.00_31.46.mp4,sliced,
C6B3T_c051_t0.00_31.21,C6B3T,c051,Watching a laptop or something on a laptop,0.0,32.0,0.0,31.21,31.21,data/charades/videos_480p/C6B3T.mp4,data/charades/clips_480p_200/C6B3T_c051_t0.00_31.21.mp4,sliced,
OOCOF_c147_t0.00_29.71,OOCOF,c147,Someone is cooking something,0.0,31.0,0.0,29.71,29.71,data/charades/videos_480p/OOCOF.mp4,data/charades/clips_480p_200/OOCOF_c147_t0.00_29.71.mp4,sliced,
ENCXV_c107_t0.00_32.25,ENCXV,c107,Holding a cup/glass/bottle of something,0.0,33.0,0.0,32.25,32.25,data/charades/videos_480p/ENCXV.mp4,data/charades/clips_480p_200/ENCXV_c107_t0.00_32.25.mp4,sliced,
KZK6W_c110_t12.70_32.40,KZK6W,c110,Taking a cup/glass/bottle from somewhere,14.7,30.4,12.7,32.4,19.7,data/charades/videos_480p/KZK6W.mp4,data/charades/clips_480p_200/KZK6W_c110_t12.70_32.40.mp4,sliced,
KNN3G_c109_t0.00_14.90,KNN3G,c109,Putting a cup/glass/bottle somewhere,0.0,12.9,0.0,14.9,14.9,data/charades/videos_480p/KNN3G.mp4,data/charades/clips_480p_200/KNN3G_c109_t0.00_14.90.mp4,sliced,
